Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
STRADB		3	3	0.3%	No
TNFRSF19		3	3	0.3%	No
SMPD3		3	3	0.3%	No
PIP4P2		3	3	0.3%	No
SLC30A10		3	3	0.3%	No
CDCA7L		3	3	0.3%	No
CDKN2AIP		3	3	0.3%	No
PPP1R9A		3	3	0.3%	No
ZNF280C		3	3	0.3%	No
TASP1		3	3	0.3%	No
TTC27		3	3	0.3%	No
THUMPD1		3	3	0.3%	No
SYBU		3	3	0.3%	No
ZNF446		3	3	0.3%	No
MFN1		4	3	0.3%	No
SLC30A6		3	3	0.3%	No
RBM22		3	3	0.3%	No
KBTBD4		3	3	0.3%	Yes
ZNF334		3	3	0.3%	No
WDR11		3	3	0.3%	No
CEP72		3	3	0.3%	No
VPS35		3	3	0.3%	No
NUP133		3	3	0.3%	No
RCOR3		3	3	0.3%	No
DHX32		3	3	0.3%	No
INAVA		3	3	0.3%	No
ZNF83		3	3	0.3%	No
TDP1		3	3	0.3%	No
ZNF415		3	3	0.3%	No
LMBRD1		3	3	0.3%	No
DEPDC1B		3	3	0.3%	No
PCID2		3	3	0.3%	No
FOXJ2		3	3	0.3%	No
DOK5		3	3	0.3%	No
KDM3A		4	3	0.3%	No
USE1		3	3	0.3%	No
GABRQ		3	3	0.3%	No
WSB2		3	3	0.3%	No
THSD1		3	3	0.3%	No
CMAS		3	3	0.3%	No
BAIAP2L1		3	3	0.3%	No
SLC25A40		3	3	0.3%	No
NXF3		3	3	0.3%	No
RNF17		3	3	0.3%	No
ANKH		3	3	0.3%	No
SERTAD4		3	3	0.3%	No
IRGC		3	3	0.3%	No
MMP26		3	3	0.3%	No
BCCIP		3	3	0.3%	No
NPDC1		3	3	0.3%	No
OR2S2		3	3	0.3%	No
SAR1A		3	3	0.3%	No
SLAMF8		3	3	0.3%	No
GRIPAP1		4	3	0.3%	No
AGPAT3		3	3	0.3%	No
DPYSL5		3	3	0.3%	No
PAPOLB		3	3	0.3%	No
IFT46		3	3	0.3%	No
SMARCAD1		3	3	0.3%	No
MEIS3		3	3	0.3%	No
PAK6		4	3	0.3%	No
FEM1C		3	3	0.3%	No
ARNTL2		3	3	0.3%	No
MRPS22		3	3	0.3%	No
PRTFDC1		3	3	0.3%	No
PRDM11		3	3	0.3%	No
CHPT1		3	3	0.3%	No
CCDC47		3	3	0.3%	No
CCNL1		3	3	0.3%	No
RARS2		3	3	0.3%	No
RPGRIP1		3	3	0.3%	No
CYSLTR2		3	3	0.3%	Yes
PLAAT1		3	3	0.3%	No
MAN1C1		3	3	0.3%	No
RNPEPL1		3	3	0.3%	No
GJC2		3	3	0.3%	No
CAMK1G		3	3	0.3%	No
NIPAL3		4	3	0.3%	No
THOC2		3	3	0.3%	No
VANGL2		5	3	0.3%	No
PBXIP1		3	3	0.3%	No
RHOJ		3	3	0.3%	No
MIF4GD		3	3	0.3%	No
SCYL1		5	3	0.3%	No
SLC24A3		3	3	0.3%	No
NDRG3		3	3	0.3%	No
GATAD2B		3	3	0.3%	No
TBC1D24		3	3	0.3%	No
CNOT6		3	3	0.3%	No
MRTFB		3	3	0.3%	No
MAVS		3	3	0.3%	No
NUFIP2		3	3	0.3%	No
MIB1		3	3	0.3%	Yes
WDR35		3	3	0.3%	No
TXNDC16		3	3	0.3%	No
NCEH1		3	3	0.3%	No
FAM135A		3	3	0.3%	No
TMEM181		3	3	0.3%	No
ZNF687		3	3	0.3%	No
PDZD4		3	3	0.3%	No
VPS18		3	3	0.3%	No
ZBTB2		3	3	0.3%	No
POGK		3	3	0.3%	No
PHF12		3	3	0.3%	No
ALS2		4	3	0.3%	No
TNRC6C		3	3	0.3%	No
CPNE5		4	3	0.3%	No
SFMBT2		3	3	0.3%	No
SLAMF7		3	3	0.3%	No
SQOR		3	3	0.3%	No
NLRC4		3	3	0.3%	No
IL22RA1		3	3	0.3%	No
IL21		3	3	0.3%	No
PRDM13		3	3	0.3%	No
SCPEP1		3	3	0.3%	No
ALOXE3		3	3	0.3%	No
RXFP1		3	3	0.3%	No
EDA2R		3	3	0.3%	No
EXOC4		3	3	0.3%	No
FASTKD5		3	3	0.3%	No
CCDC81		3	3	0.3%	No
NYX		3	3	0.3%	No
ALX4		3	3	0.3%	No
MIIP		3	3	0.3%	No
FKBP10		3	3	0.3%	No
BCAN		5	3	0.3%	No
GPATCH3		3	3	0.3%	No
GALNT11		3	3	0.3%	No
ZBED8		3	3	0.3%	No
CIDEC		3	3	0.3%	No
CHP2		3	3	0.3%	No
CXORF56		3	3	0.3%	No
ZNF667		3	3	0.3%	No
DMRTA2		3	3	0.3%	No
CLSPN		3	3	0.3%	No
RBM26		3	3	0.3%	No
PERP		3	3	0.3%	No
SNX16		3	3	0.3%	No
GAL3ST2		3	3	0.3%	No
SAMSN1		3	3	0.3%	No
SMOC1		3	3	0.3%	No
NPFFR1		5	3	0.3%	No
NECAB1		3	3	0.3%	No
DPEP3		3	3	0.3%	No
TFB2M		3	3	0.3%	No
STRA6		3	3	0.3%	No
TOR3A		3	3	0.3%	No
MS4A6A		3	3	0.3%	No
MS4A5		3	3	0.3%	No
TENT4B		4	3	0.3%	No
GMCL1		3	3	0.3%	No
MPP5		3	3	0.3%	No
POLR1E		3	3	0.3%	No
ACTR6		4	3	0.3%	No
NOM1		4	3	0.3%	No
DNAI2		4	3	0.3%	No
HS3ST6		3	3	0.3%	No
WDR13		3	3	0.3%	No
ACBD3		3	3	0.3%	No
CYP3A43		3	3	0.3%	No
ELOVL1		3	3	0.3%	No
PORCN		3	3	0.3%	No
GNPNAT1		3	3	0.3%	No
CDCP1		3	3	0.3%	No
PCDH20		3	3	0.3%	No
PAPOLG		3	3	0.3%	No
SLC30A5		3	3	0.3%	No
MRPL1		3	3	0.3%	No
SLC26A10		3	3	0.3%	No
ACD		3	3	0.3%	No
CDK15		3	3	0.3%	No
JMJD4		3	3	0.3%	No
KRI1		4	3	0.3%	No
RSRC2		3	3	0.3%	No
ZBTB10		3	3	0.3%	No
RASL11B		3	3	0.3%	No
MTMR9		3	3	0.3%	No
LRFN4		3	3	0.3%	No
SCNM1		3	3	0.3%	No
NUP37		3	3	0.3%	No
SECISBP2		3	3	0.3%	No
TRPM8		3	3	0.3%	No
FTO		3	3	0.3%	No
WDR77		3	3	0.3%	No
ZNF426		3	3	0.3%	No
C1ORF116		3	3	0.3%	No
DERL1		3	3	0.3%	No
CCDC28B		3	3	0.3%	No
ZSCAN5A		3	3	0.3%	No
TNIP2		3	3	0.3%	No
TMEM43		3	3	0.3%	No
IRX6		3	3	0.3%	No
IRX1		3	3	0.3%	No
ZNF557		3	3	0.3%	No
OR13A1		3	3	0.3%	No
NOX5		3	3	0.3%	No
LRRC2		3	3	0.3%	No
BIRC7		3	3	0.3%	No
RIPOR1		5	3	0.3%	No
CDC73		3	3	0.3%	Yes
ARMH3		3	3	0.3%	No
OGFRL1		3	3	0.3%	No
SRD5A3		3	3	0.3%	No
EFCAB1		3	3	0.3%	No
MCPH1		3	3	0.3%	No
RPAP3		3	3	0.3%	No
ZMAT4		3	3	0.3%	No
MORC4		3	3	0.3%	No
KCTD17		3	3	0.3%	No
TTLL7		3	3	0.3%	No
ZFAND1		3	3	0.3%	No
CCDC82		3	3	0.3%	No
SUGCT		3	3	0.3%	No
GSDMD		3	3	0.3%	No
RNF122		3	3	0.3%	No
EPHX3		3	3	0.3%	No
TM4SF20		3	3	0.3%	No
NEK11		3	3	0.3%	No
TCTN2		3	3	0.3%	No
CPSF7		3	3	0.3%	No
CBLL1		3	3	0.3%	No
ZC3H14		4	3	0.3%	No
MAP9		3	3	0.3%	No
LPCAT1		3	3	0.3%	No
PYROXD1		3	3	0.3%	No
TNIP3		3	3	0.3%	No
COQ8B		3	3	0.3%	No
CNTNAP3		3	3	0.3%	No
ERMP1		3	3	0.3%	No
WDR76		3	3	0.3%	No
FRMD1		3	3	0.3%	No
TTC26		3	3	0.3%	No
ESRP2		3	3	0.3%	No
MINDY3		3	3	0.3%	No
ATF7IP2		3	3	0.3%	No
BAIAP2L2		3	3	0.3%	No
ARL14		3	3	0.3%	No
TRIM46		4	3	0.3%	No
PTGES2		3	3	0.3%	No
ZC3H12A		3	3	0.3%	No
ABHD18		3	3	0.3%	No
ARMC9		4	3	0.3%	No
ALPK1		3	3	0.3%	No
RAB11FIP1		3	3	0.3%	No
EFHC2		3	3	0.3%	No
TRABD		4	3	0.3%	No
CPEB4		3	3	0.3%	No
TRAF3IP3		3	3	0.3%	No
REEP4		3	3	0.3%	No
COASY		3	3	0.3%	No
TNKS2		3	3	0.3%	No
AKNA		3	3	0.3%	No
ESX1		3	3	0.3%	No
PBX4		3	3	0.3%	No
NDFIP1		3	3	0.3%	No
LIMD2		3	3	0.3%	No
ZNF436		4	3	0.3%	No
EEPD1		3	3	0.3%	No
ZFP91		3	3	0.3%	No
TAS1R1		3	3	0.3%	No
SH3BP5L		3	3	0.3%	No
OR8J3		4	3	0.3%	No
OR51E2		3	3	0.3%	No
OR2G3		3	3	0.3%	No
OR2G2		3	3	0.3%	No
PTDSS2		3	3	0.3%	No
CLPB		3	3	0.3%	No
GFOD2		3	3	0.3%	No
NECTIN4		3	3	0.3%	No
C6ORF62		3	3	0.3%	No
OR5V1		3	3	0.3%	No
NUAK2		3	3	0.3%	No
SLC25A28		3	3	0.3%	No
HDHD3		3	3	0.3%	No
GSG1		3	3	0.3%	No
ARHGAP24		3	3	0.3%	No
MFRP		3	3	0.3%	No
NUDT12		3	3	0.3%	No
CCM2		3	3	0.3%	No
TEKT1		3	3	0.3%	No
PARP9		3	3	0.3%	No
NRIP2		3	3	0.3%	No
TLCD3B		3	3	0.3%	No
RIOK1		3	3	0.3%	No
L3MBTL2		3	3	0.3%	No
ARMC10		3	3	0.3%	No
ESYT3		4	3	0.3%	No
TMTC1		3	3	0.3%	No
TTLL2		3	3	0.3%	No
FGFBP2		3	3	0.3%	No
SNX25		3	3	0.3%	No
KCTD10		3	3	0.3%	No
STK40		3	3	0.3%	Yes
HDAC10		4	3	0.3%	No
RASSF4		3	3	0.3%	No
TSSK1B		3	3	0.3%	No
FCAMR		3	3	0.3%	No
CCDC8		3	3	0.3%	No
FAM186B		3	3	0.3%	No
HORMAD1		3	3	0.3%	No
ANKRD27		4	3	0.3%	No
CEP78		3	3	0.3%	No
USP42		3	3	0.3%	No
SLC49A3		3	3	0.3%	No
SETD3		3	3	0.3%	Yes
LRRC8C		4	3	0.3%	No
TRAF7		3	3	0.3%	Yes
ZDHHC18		3	3	0.3%	No
SLF1		3	3	0.3%	No
GARNL3		3	3	0.3%	No
SLC37A3		3	3	0.3%	No
FLYWCH1		3	3	0.3%	Yes
DCUN1D5		3	3	0.3%	No
PSMG3		3	3	0.3%	No
HSDL2		3	3	0.3%	No
BTBD10		3	3	0.3%	No
ZDHHC16		3	3	0.3%	No
GINS4		3	3	0.3%	No
PYM1		3	3	0.3%	No
AKT1S1		3	3	0.3%	No
HHIPL1		3	3	0.3%	No
LZTS2		3	3	0.3%	No
ZNF333		3	3	0.3%	No
ZNF512		3	3	0.3%	No
EFCAB7		3	3	0.3%	No
PHYHIPL		3	3	0.3%	No
SPIRE2		4	3	0.3%	No
ZNF527		3	3	0.3%	No
KBTBD8		3	3	0.3%	No
ZBTB37		3	3	0.3%	No
TUBB6		3	3	0.3%	No
KISS1R		3	3	0.3%	No
USP38		3	3	0.3%	No
LCE3D		3	3	0.3%	No
GLIS2		3	3	0.3%	No
ZNF347		3	3	0.3%	No
HINT2		3	3	0.3%	No
USP30		3	3	0.3%	No
CRACR2A		3	3	0.3%	No
KMT5C		3	3	0.3%	No
NFKBID		3	3	0.3%	No
PLCD4		3	3	0.3%	No
HPDL		3	3	0.3%	No
RIOX2		4	3	0.3%	No
TMEM25		3	3	0.3%	No
ZC3H10		3	3	0.3%	No
C1ORF198		3	3	0.3%	No
ADO		3	3	0.3%	No
MIGA2		3	3	0.3%	No
TMTC4		4	3	0.3%	No
RNFT2		3	3	0.3%	No
TMEM87B		3	3	0.3%	No
UTP4		3	3	0.3%	No
ALG10		5	3	0.3%	No
ZNF566		3	3	0.3%	No
WDR73		3	3	0.3%	No
MAEL		3	3	0.3%	No
SYTL1		3	3	0.3%	No
TOX2		5	3	0.3%	No
ATG4D		3	3	0.3%	No
FAM83A		3	3	0.3%	No
REPS1		3	3	0.3%	No
SHISAL1		3	3	0.3%	No
SHANK3		3	3	0.3%	No
SYDE1		3	3	0.3%	No
ZCCHC3		3	3	0.3%	No
EAF1		3	3	0.3%	No
DNAJC14		3	3	0.3%	No
NKD1		3	3	0.3%	No
RHPN2		4	3	0.3%	No
SELENOI		3	3	0.3%	No
GALP		4	3	0.3%	No
WNT3A		3	3	0.3%	No
HPS4		3	3	0.3%	No
GAL3ST3		3	3	0.3%	No
ARHGAP11B		3	3	0.3%	No
FCHSD1		3	3	0.3%	No
SIGLEC12		4	3	0.3%	No
TPD52L3		3	3	0.3%	No
RHOT2		4	3	0.3%	No
RSPRY1		3	3	0.3%	No
FAM181A		3	3	0.3%	No
LACRT		3	3	0.3%	No
ZNF30		4	3	0.3%	No
BTBD6		3	3	0.3%	No
FRMD7		3	3	0.3%	No
OTULIN		3	3	0.3%	No
TP53I13		4	3	0.3%	No
ZNF766		3	3	0.3%	No
EXOC3L2		3	3	0.3%	No
MED30		3	3	0.3%	No
ZNF598		5	3	0.3%	No
ZNF697		3	3	0.3%	No
TRIM41		3	3	0.3%	No
ESAM		3	3	0.3%	No
CCDC34		3	3	0.3%	No
UAP1L1		3	3	0.3%	No
ACBD5		3	3	0.3%	No
UBXN11		3	3	0.3%	No
SLFN11		3	3	0.3%	Yes
DEPDC7		3	3	0.3%	No
NEXN		3	3	0.3%	No
YTHDC1		3	3	0.3%	No
ALKBH8		3	3	0.3%	No
MYLK3		3	3	0.3%	No
RCSD1		3	3	0.3%	No
MEX3A		3	3	0.3%	No
LDHAL6B		3	3	0.3%	No
FANK1		3	3	0.3%	No
G6PC3		3	3	0.3%	No
ASB16		3	3	0.3%	No
ZNF764		3	3	0.3%	No
TIFA		3	3	0.3%	No
TMEM169		3	3	0.3%	No
HIST3H2A		3	3	0.3%	No
B3GNT7		3	3	0.3%	No
NT5C1B		3	3	0.3%	No
PIGM		3	3	0.3%	No
SP140L		3	3	0.3%	No
OPALIN		3	3	0.3%	No
TPTE2		3	3	0.3%	No
SDR42E1		3	3	0.3%	No
TJAP1		3	3	0.3%	No
MYOCD		3	3	0.3%	No
ORMDL3		3	3	0.3%	No
CAVIN3		3	3	0.3%	No
PRRT2		3	3	0.3%	No
PLCD3		3	3	0.3%	No
SAAL1		3	3	0.3%	No
ZIM3		3	3	0.3%	No
EFHC1		3	3	0.3%	No
SLC22A9		3	3	0.3%	No
ERMAP		3	3	0.3%	No
PGLYRP3		3	3	0.3%	No
PKD1L2		3	3	0.3%	No
BTBD9		3	3	0.3%	No
SLC25A25		3	3	0.3%	No
OSBPL8		3	3	0.3%	No
GPRASP2		3	3	0.3%	No
VASN		4	3	0.3%	No
ZNF554		3	3	0.3%	No
GBP5		3	3	0.3%	No
ZNF501		3	3	0.3%	No
SLC5A11		3	3	0.3%	No
NOSTRIN		3	3	0.3%	No
C12ORF56		3	3	0.3%	No
FOXP4		3	3	0.3%	No
LRRC3B		3	3	0.3%	No
CMTM5		3	3	0.3%	No
ZMYND19		3	3	0.3%	No
MOGAT1		3	3	0.3%	No
PANX3		4	3	0.3%	No
ART5		3	3	0.3%	No
RAB3IP		3	3	0.3%	No
MRGPRX3		3	3	0.3%	No
FTSJ3		3	3	0.3%	No
TAGAP		3	3	0.3%	No
RFFL		3	3	0.3%	No
ZNF354B		4	3	0.3%	No
OLFM3		3	3	0.3%	No
MMP21		3	3	0.3%	No
PDZD8		3	3	0.3%	No
OR51S1		3	3	0.3%	No
OR51F2		3	3	0.3%	No
OR4B1		3	3	0.3%	No
CYP2R1		3	3	0.3%	No
OR56A4		3	3	0.3%	No
OR10P1		3	3	0.3%	No
SDR9C7		3	3	0.3%	No
FGD4		3	3	0.3%	No
ASCL4		4	3	0.3%	No
ALKBH2		3	3	0.3%	No
FOXN4		3	3	0.3%	No
TPPP2		3	3	0.3%	No
OR11H6		3	3	0.3%	No
SOCS4		3	3	0.3%	No
TC2N		3	3	0.3%	No
SLC24A4		3	3	0.3%	No
DEGS2		3	3	0.3%	No
TARSL2		3	3	0.3%	No
LRRC28		3	3	0.3%	No
ACSM2A		3	3	0.3%	No
C16ORF78		3	3	0.3%	No
NOXO1		3	3	0.3%	No
CDYL2		3	3	0.3%	No
HSF5		3	3	0.3%	No
USH1G		3	3	0.3%	No
CD300LB		3	3	0.3%	No
WFIKKN2		3	3	0.3%	No
TTC39C		3	3	0.3%	No
OSCAR		3	3	0.3%	No
ALDH16A1		3	3	0.3%	No
NTN5		3	3	0.3%	No
NR2C2AP		3	3	0.3%	No
CYP4F22		3	3	0.3%	No
GABPB2		3	3	0.3%	No
KDF1		3	3	0.3%	No
OR2M5		3	3	0.3%	No
OR2T4		5	3	0.3%	No
RNF19B		3	3	0.3%	No
UHMK1		3	3	0.3%	No
FCRLB		3	3	0.3%	No
NAXE		3	3	0.3%	No
OR6N1		3	3	0.3%	No
EMID1		3	3	0.3%	No
DIS3L2		3	3	0.3%	No
RBM45		3	3	0.3%	No
OR9A4		3	3	0.3%	No
RFTN2		3	3	0.3%	No
ACVR1C		3	3	0.3%	No
CCDC148		3	3	0.3%	No
CPNE4		3	3	0.3%	No
ZPLD1		3	3	0.3%	No
CD200R1		3	3	0.3%	No
TPRA1		3	3	0.3%	No
RTP1		3	3	0.3%	No
LIN54		3	3	0.3%	No
PDCL2		3	3	0.3%	No
TRAM1L1		3	3	0.3%	No
ENPP6		3	3	0.3%	No
AFAP1L1		3	3	0.3%	No
UBLCP1		3	3	0.3%	No
SHROOM1		3	3	0.3%	No
IRAK1BP1		3	3	0.3%	No
CLVS2		3	3	0.3%	No
TAAR1		3	3	0.3%	No
OR6B1		3	3	0.3%	No
C7ORF57		3	3	0.3%	No
ASB10		3	3	0.3%	No
ASZ1		3	3	0.3%	No
CLDN23		3	3	0.3%	No
GOT1L1		3	3	0.3%	No
ADHFE1		3	3	0.3%	No
DIPK1B		4	3	0.3%	No
PIP5KL1		3	3	0.3%	No
ARID3C		3	3	0.3%	Yes
OR13C8		3	3	0.3%	No
PWWP3B		3	3	0.3%	No
HDX		3	3	0.3%	No
PTCHD1		3	3	0.3%	No
MAGEB10		3	3	0.3%	No
DCAF8L1		3	3	0.3%	No
GATA5		3	3	0.3%	No
RIMS4		3	3	0.3%	No
SUN5		3	3	0.3%	No
KRT72		3	3	0.3%	No
BANF2		3	3	0.3%	No
NANP		3	3	0.3%	No
DEFB129		3	3	0.3%	No
PABPC5		3	3	0.3%	No
STK35		3	3	0.3%	No
SESN3		3	3	0.3%	Yes
SPTY2D1		4	3	0.3%	No
E2F7		3	3	0.3%	No
KRT80		4	3	0.3%	No
C12ORF66		3	3	0.3%	No
B3GLCT		3	3	0.3%	No
PTGR2		3	3	0.3%	No
TTC7B		3	3	0.3%	No
LYSMD4		3	3	0.3%	No
CDAN1		3	3	0.3%	No
SLC38A8		3	3	0.3%	No
FBXL16		3	3	0.3%	No
ZNF688		3	3	0.3%	No
CCDC42		3	3	0.3%	No
RUNDC1		3	3	0.3%	No
NOTUM		3	3	0.3%	No
PPM1N		3	3	0.3%	No
ZNF563		3	3	0.3%	No
SIX5		3	3	0.3%	No
FAM98C		3	3	0.3%	No
CAPN12		3	3	0.3%	No
ZNF599		3	3	0.3%	No
FAM187B		3	3	0.3%	No
C1ORF127		3	3	0.3%	No
CIART		3	3	0.3%	No
SLC35F3		3	3	0.3%	No
HJV		3	3	0.3%	No
B3GALNT2		3	3	0.3%	No
PM20D1		3	3	0.3%	No
RC3H1		3	3	0.3%	No
MANEAL		3	3	0.3%	No
FAM78B		3	3	0.3%	No
EXOC8		3	3	0.3%	No
BNIPL		3	3	0.3%	No
LIPI		3	3	0.3%	No
SIK1		3	3	0.3%	No
XKR3		3	3	0.3%	No
PHETA2		3	3	0.3%	No
TTC30B		4	3	0.3%	No
ITPRIPL1		3	3	0.3%	No
PUS10		3	3	0.3%	No
CCDC140		3	3	0.3%	No
RNF38		3	3	0.3%	No
ZCWPW2		3	3	0.3%	No
CCDC50		3	3	0.3%	No
SH3D19		3	3	0.3%	No
SCFD2		3	3	0.3%	No
PPM1K		3	3	0.3%	No
SLC36A2		4	3	0.3%	No
TMEM161B		3	3	0.3%	No
SRFBP1		3	3	0.3%	No
FAM81B		3	3	0.3%	No
SLC2A12		3	3	0.3%	No
ZNF425		3	3	0.3%	No
PEBP4		3	3	0.3%	No
SLC7A13		3	3	0.3%	No
OR1Q1		3	3	0.3%	No
TTLL11		3	3	0.3%	No
ZNF483		3	3	0.3%	No
DEUP1		3	3	0.3%	No
LDHAL6A		4	3	0.3%	No
TMTC2		4	3	0.3%	No
CCDC63		3	3	0.3%	No
STRC		3	3	0.3%	No
CFAP161		3	3	0.3%	No
PGBD4		3	3	0.3%	No
SLC16A11		3	3	0.3%	No
ELOA3		6	3	0.3%	No
ZNF296		3	3	0.3%	No
ZNF791		3	3	0.3%	No
ZNF564		3	3	0.3%	No
ZNF781		3	3	0.3%	No
DENND2C		3	3	0.3%	No
TTC24		4	3	0.3%	No
CCDC185		3	3	0.3%	No
APCDD1L		3	3	0.3%	No
LRRN4		3	3	0.3%	No
DQX1		3	3	0.3%	No
CHST13		3	3	0.3%	No
BBS12		3	3	0.3%	No
RBM46		3	3	0.3%	No
CDC20B		3	3	0.3%	No
PRSS35		3	3	0.3%	No
LCA5		3	3	0.3%	No
OLIG3		3	3	0.3%	No
DDX53		3	3	0.3%	No
ZNF467		3	3	0.3%	No
STKLD1		3	3	0.3%	No
KCNV2		4	3	0.3%	No
OLFML2A		6	3	0.3%	No
QSOX2		3	3	0.3%	No
PWWP2B		3	3	0.3%	No
SSBP4		3	3	0.3%	No
GIMAP1		3	3	0.3%	No
S100Z		3	3	0.3%	No
PSORS1C2		3	3	0.3%	No
ABHD3		3	3	0.3%	No
ZNF367		3	3	0.3%	No
PLPP4		4	3	0.3%	No
LDHD		3	3	0.3%	No
ACSF3		3	3	0.3%	No
EME2		3	3	0.3%	No
TMEM61		3	3	0.3%	No
CRTC2		3	3	0.3%	No
APLF		4	3	0.3%	No
KLHDC8B		3	3	0.3%	No
MUC20		3	3	0.3%	No
SAMD14		3	3	0.3%	No
SLC16A13		3	3	0.3%	No
ZSCAN4		3	3	0.3%	No
HACD2		3	3	0.3%	No
PDE12		3	3	0.3%	No
TIGIT		3	3	0.3%	No
TCTE1		3	3	0.3%	No
NAIF1		3	3	0.3%	No
SLC36A1		3	3	0.3%	No
DHRSX		5	3	0.3%	No
MTIF3		3	3	0.3%	No
OR5D14		3	3	0.3%	No
OR5R1		3	3	0.3%	No
ZCCHC24		3	3	0.3%	No
STOX1		3	3	0.3%	No
OR10S1		3	3	0.3%	No
OR6T1		3	3	0.3%	No
MRPL21		3	3	0.3%	No
OR5B17		3	3	0.3%	No
OR4D11		3	3	0.3%	No
FAM124A		3	3	0.3%	No
SKA1		3	3	0.3%	No
CFAP53		3	3	0.3%	No
FAM181B		3	3	0.3%	No
RNF152		3	3	0.3%	No
ZNF485		3	3	0.3%	No
UCMA		3	3	0.3%	No
HNRNPUL2		3	3	0.3%	No
SKA3		3	3	0.3%	No
BEND6		3	3	0.3%	No
TMEM217		3	3	0.3%	No
FGD2		3	3	0.3%	No
PI16		3	3	0.3%	No
ZBTB9		3	3	0.3%	No
SYCP2L		3	3	0.3%	No
FOXK1		4	3	0.3%	No
CDHR3		3	3	0.3%	No
ADGRF2		3	3	0.3%	No
LHFPL5		3	3	0.3%	No
FERD3L		4	3	0.3%	No
MAPK15		3	3	0.3%	No
VGLL2		3	3	0.3%	No
SLC17A8		3	3	0.3%	No
STAC3		3	3	0.3%	No
TECRL		4	3	0.3%	No
IPMK		4	3	0.3%	No
ZNF620		3	3	0.3%	No
MSRB3		3	3	0.3%	No
ZDHHC20		4	3	0.3%	No
KCTD13		3	3	0.3%	No
CALHM5		3	3	0.3%	No
CNIH2		3	3	0.3%	No
ZDHHC24		3	3	0.3%	No
SLC41A1		3	3	0.3%	No
OR6C3		3	3	0.3%	No
LCE5A		3	3	0.3%	No
OR1L4		3	3	0.3%	No
CALHM1		3	3	0.3%	No
PLA2G4F		3	3	0.3%	No
ANKK1		3	3	0.3%	No
MBLAC1		3	3	0.3%	No
OR52B2		3	3	0.3%	No
PTF1A		3	3	0.3%	No
SERPINA11		3	3	0.3%	No
MAMDC2		3	3	0.3%	No
GLIPR1L1		3	3	0.3%	No
MAP7D2		3	3	0.3%	No
OR51F1		3	3	0.3%	No
SUN3		3	3	0.3%	No
SNX33		3	3	0.3%	No
TAS2R50		3	3	0.3%	No
IL4I1		3	3	0.3%	No
MAGI3		3	3	0.3%	No
TIPRL		3	3	0.3%	No
STEAP2		3	3	0.3%	No
SEC14L3		3	3	0.3%	No
ADGRF1		3	3	0.3%	No
PGBD3		3	3	0.3%	No
OR10AG1		3	3	0.3%	No
MKX		3	3	0.3%	No
OR51V1		3	3	0.3%	No
HARBI1		3	3	0.3%	No
IGSF22		3	3	0.3%	No
OR10A4		3	3	0.3%	No
SPRYD4		3	3	0.3%	No
SLC46A3		4	3	0.3%	No
C14ORF178		3	3	0.3%	No
PRTG		4	3	0.3%	No
FBXL22		3	3	0.3%	No
C16ORF54		3	3	0.3%	No
TSEN54		3	3	0.3%	No
C17ORF78		3	3	0.3%	No
SLC26A11		3	3	0.3%	No
ZSCAN1		3	3	0.3%	No
TMEM145		3	3	0.3%	No
ZNF283		4	3	0.3%	No
KLK9		3	3	0.3%	No
OR2Z1		3	3	0.3%	No
SYPL2		3	3	0.3%	No
RSPO1		3	3	0.3%	No
RIMKLA		3	3	0.3%	No
SEC14L4		3	3	0.3%	No
FAM126B		3	3	0.3%	No
FBXW12		3	3	0.3%	No
HTR3E		3	3	0.3%	No
RABL3		3	3	0.3%	No
SUMF1		3	3	0.3%	No
RNF212		3	3	0.3%	No
GPRIN3		3	3	0.3%	No
YIPF7		3	3	0.3%	No
C5ORF51		3	3	0.3%	No
RNF180		3	3	0.3%	No
RGMB		3	3	0.3%	No
ZNF789		4	3	0.3%	No
ZNF707		3	3	0.3%	No
FBXO43		3	3	0.3%	No
NKAIN3		4	3	0.3%	No
P2RY8		3	3	0.3%	Yes
RAB37		3	3	0.3%	No
SNAI3		3	3	0.3%	No
KCNK18		3	3	0.3%	No
TMEM225		3	3	0.3%	No
OR8D4		3	3	0.3%	No
ANKRD13D		3	3	0.3%	No
OR52L1		3	3	0.3%	No
C1QL4		3	3	0.3%	No
VSX2		3	3	0.3%	No
MSL1		3	3	0.3%	No
ZNF260		3	3	0.3%	No
ADAMTSL5		3	3	0.3%	No
SLC35E4		3	3	0.3%	No
PRR30		3	3	0.3%	No
TMPRSS11A		3	3	0.3%	No
TMEM173		3	3	0.3%	No
FAM170A		3	3	0.3%	No
RSPO2		4	3	0.3%	Yes
OR52B6		3	3	0.3%	No
C11ORF53		3	3	0.3%	No
ZNF774		3	3	0.3%	No
SMTNL2		3	3	0.3%	No
STAC2		3	3	0.3%	No
ZSCAN22		3	3	0.3%	No
OR6F1		3	3	0.3%	No
FCRL6		3	3	0.3%	No
BARHL2		3	3	0.3%	No
MSGN1		3	3	0.3%	No
TMPRSS7		3	3	0.3%	No
ECT2L		3	3	0.3%	Yes
CAVIN4		3	3	0.3%	No
SERINC2		3	3	0.3%	No
ANKDD1A		3	3	0.3%	No
CFAP100		3	3	0.3%	No
NUP43		3	3	0.3%	No
LCE1B		3	3	0.3%	No
